날짜,시도지역코드,발생건수(건)
2023-07-03,41,20219
2023-07-03,42,2
2023-07-03,43,2961
2023-07-03,44,4403
2023-07-03,45,3245
2023-07-03,46,3574
2023-07-03,47,4227
2023-07-03,48,6181
2023-07-03,49,1080
2023-07-03,99,85117
2023-07-04,11,10550
2023-07-04,26,4505
2023-07-04,27,3044
2023-07-04,28,3376
2023-07-04,29,1685
2023-07-04,30,1788
2023-07-04,31,1372
2023-07-04,41,14155
2023-07-04,42,1
2023-07-04,43,2099
2023-07-04,44,2963
2023-07-04,45,2075
2023-07-04,46,2590
2023-07-04,47,3129
2023-07-04,48,4392
2023-07-04,49,844
2023-07-04,99,60360
2023-07-05,11,9727
2023-07-05,26,4285
2023-07-05,27,2681
2023-07-05,28,3387
2023-07-05,29,1328
2023-07-05,30,1666
2023-07-05,31,1184
2023-07-05,41,13169
2023-07-05,42,0
2023-07-05,43,1809
2023-07-05,44,2761
2023-07-05,45,1948
2023-07-05,46,2354
2023-07-05,47,2865
2023-07-05,48,4117
2023-07-05,49,734
2023-07-05,99,55620
2023-07-06,11,9749
2023-07-06,26,4167
2023-07-06,27,2822
2023-07-06,28,3208
2023-07-06,29,1535
2023-07-06,30,1620
2023-07-06,31,1249
2023-07-06,41,13325
2023-07-06,42,0
2023-07-06,43,1824
2023-07-06,44,3060
2023-07-06,45,2042
2023-07-06,46,2443
2023-07-06,47,2874
2023-07-06,48,4144
2023-07-06,49,707
2023-07-06,99,56268
2023-07-07,11,12354
2023-07-07,26,4168
2023-07-07,27,2734
2023-07-07,28,4191
2023-07-07,29,1524
2023-07-07,30,1742
2023-07-07,31,1310
2023-07-07,41,16619
2023-07-07,42,0
2023-07-07,43,2138
2023-07-07,44,3211
2023-07-07,45,2219
2023-07-07,46,2440
2023-07-07,47,3069
2023-07-07,48,4174
2023-07-07,49,911
2023-07-07,99,64722
2023-07-08,11,8344
2023-07-08,26,3101
2023-07-08,27,2356
2023-07-08,28,3001
2023-07-08,29,1341
2023-07-08,30,1523
2023-07-08,31,906
2023-07-08,41,12065
2023-07-08,42,0
2023-07-08,43,1586
2023-07-08,44,2151
2023-07-08,45,1640
2023-07-08,46,2051
2023-07-08,47,2336
2023-07-08,48,3554
2023-07-08,49,503
2023-07-08,99,47462
2023-07-09,11,425
2023-07-09,26,155
2023-07-09,27,71
2023-07-09,28,135
2023-07-09,29,24
2023-07-09,30,135
2023-07-09,31,99
2023-07-09,41,921
2023-07-09,42,0
2023-07-09,43,125
2023-07-09,44,173
