날짜,시군구지역코드,발생건수(건)
2023-05-03,46710,31
2023-05-03,46720,8
2023-05-03,46730,11
2023-05-03,46770,69
2023-05-03,46780,19
2023-05-03,46790,30
2023-05-03,46800,57
2023-05-03,46810,23
2023-05-03,46820,49
2023-05-03,46830,35
2023-05-03,46840,75
2023-05-03,46860,16
2023-05-03,46870,34
2023-05-03,46880,28
2023-05-03,46890,30
2023-05-03,46900,23
2023-05-03,46910,21
2023-05-03,47111,102
2023-05-03,47113,119
2023-05-03,47130,171
2023-05-03,47150,60
2023-05-03,47170,88
2023-05-03,47190,147
2023-05-03,47210,41
2023-05-03,47230,52
2023-05-03,47250,85
2023-05-03,47280,23
2023-05-03,47290,155
2023-05-03,47720,13
2023-05-03,47730,38
2023-05-03,47750,17
2023-05-03,47760,13
2023-05-03,47770,17
2023-05-03,47820,19
2023-05-03,47830,14
2023-05-03,47840,14
2023-05-03,47850,45
2023-05-03,47900,24
2023-05-03,47920,20
2023-05-03,47930,14
2023-05-03,47940,3
2023-05-03,48121,145
2023-05-03,48123,90
2023-05-03,48125,66
2023-05-03,48127,73
2023-05-03,48129,124
2023-05-03,48170,128
2023-05-03,48220,71
2023-05-03,48240,55
2023-05-03,48250,258
2023-05-03,48270,52
2023-05-03,48310,88
2023-05-03,48330,141
2023-05-03,48720,23
2023-05-03,48730,8
2023-05-03,48740,20
2023-05-03,48820,37
2023-05-03,48840,24
2023-05-03,48850,26
2023-05-03,48860,12
2023-05-03,48870,37
2023-05-03,48880,31
2023-05-03,48890,50
2023-05-03,49110,203
2023-05-03,49130,83
2023-05-04,11110,58
2023-05-04,11140,80
2023-05-04,11170,83
2023-05-04,11200,173
2023-05-04,11215,202
2023-05-04,11230,170
2023-05-04,11260,240
2023-05-04,11290,166
2023-05-04,11305,147
2023-05-04,11320,202
2023-05-04,11350,226
2023-05-04,11380,371
2023-05-04,11410,163
2023-05-04,11440,149
2023-05-04,11470,206
2023-05-04,11500,232
2023-05-04,11530,204
2023-05-04,11545,93
2023-05-04,11560,166
2023-05-04,11590,236
2023-05-04,11620,192
2023-05-04,11650,258
2023-05-04,11680,298
2023-05-04,11710,264
2023-05-04,11740,226
2023-05-04,26110,20
2023-05-04,26140,43
2023-05-04,26170,54
2023-05-04,26200,77
2023-05-04,26230,212
2023-05-04,26260,176
2023-05-04,26290,98
2023-05-04,26320,230
2023-05-04,26350,179
2023-05-04,26380,181
2023-05-04,26410,105
2023-05-04,26440,81
2023-05-04,26470,122
2023-05-04,26500,73
2023-05-04,26530,109
2023-05-04,26710,69
2023-05-04,27110,50
2023-05-04,27140,169
2023-05-04,27170,107
2023-05-04,27200,73
2023-05-04,27230,217
2023-05-04,27260,269
2023-05-04,27290,351
2023-05-04,27710,130
2023-05-04,28110,54
2023-05-04,28140,48
2023-05-04,28170,0
2023-05-04,28185,174
2023-05-04,28200,278
2023-05-04,28237,325
2023-05-04,28245,165
2023-05-04,28260,365
2023-05-04,28710,45
2023-05-04,28720,6
2023-05-04,29110,98
2023-05-04,29140,143
2023-05-04,29155,169
2023-05-04,29170,249
2023-05-04,29200,206
2023-05-04,30110,115
2023-05-04,30140,106
2023-05-04,30170,254
2023-05-04,30200,200
2023-05-04,30230,122
2023-05-04,31110,124
2023-05-04,31140,172
2023-05-04,31170,48
2023-05-04,31200,147
2023-05-04,31710,122
2023-05-04,36110,225
2023-05-04,41111,165
2023-05-04,41113,242
2023-05-04,41115,124
2023-05-04,41117,180
2023-05-04,41131,140
2023-05-04,41133,86
2023-05-04,41135,197
2023-05-04,41150,205
2023-05-04,41171,108
2023-05-04,41173,188
2023-05-04,41190,538
2023-05-04,41210,115
2023-05-04,41220,379
2023-05-04,41250,37
2023-05-04,41271,146
2023-05-04,41273,230
2023-05-04,41281,253
2023-05-04,41285,137
2023-05-04,41287,117
2023-05-04,41290,30
2023-05-04,41310,115
2023-05-04,41360,331
2023-05-04,41370,88
2023-05-04,41390,198
2023-05-04,41410,119
2023-05-04,41430,67
2023-05-04,41450,167
2023-05-04,41461,125
2023-05-04,41463,169
2023-05-04,41465,197
2023-05-04,41480,284
2023-05-04,41500,80
2023-05-04,41550,137
2023-05-04,41570,378
2023-05-04,41590,504
2023-05-04,41610,190
2023-05-04,41630,121
2023-05-04,41650,72
2023-05-04,41670,48
2023-05-04,41800,23
2023-05-04,41820,35
2023-05-04,41830,55
2023-05-04,42110,185
2023-05-04,42130,160
2023-05-04,42150,63
2023-05-04,42170,17
2023-05-04,42190,23
2023-05-04,42210,133
2023-05-04,42230,25
2023-05-04,42720,36
2023-05-04,42730,15
2023-05-04,42750,21
2023-05-04,42760,20
2023-05-04,42770,10
2023-05-04,42780,23
2023-05-04,42790,11
2023-05-04,42800,13
2023-05-04,42810,38
2023-05-04,42820,31
2023-05-04,42830,8
2023-05-04,43111,179
2023-05-04,43112,131
2023-05-04,43113,149
2023-05-04,43114,174
2023-05-04,43130,126
2023-05-04,43150,78
2023-05-04,43720,17
2023-05-04,43730,42
2023-05-04,43740,28
2023-05-04,43745,17
2023-05-04,43750,40
2023-05-04,43760,12
2023-05-04,43770,33
2023-05-04,43800,8
2023-05-04,44131,177
2023-05-04,44133,264
2023-05-04,44150,123
2023-05-04,44180,71
2023-05-04,44200,281
2023-05-04,44210,69
2023-05-04,44230,64
2023-05-04,44250,17
2023-05-04,44270,227
2023-05-04,44710,24
2023-05-04,44760,34
2023-05-04,44770,15
2023-05-04,44790,11
2023-05-04,44800,59
2023-05-04,44810,66
2023-05-04,44825,52
2023-05-04,45111,144
2023-05-04,45113,151
2023-05-04,45130,128
2023-05-04,45140,231
2023-05-04,45180,86
2023-05-04,45190,42
2023-05-04,45210,58
2023-05-04,45710,71
2023-05-04,45720,11
2023-05-04,45730,28
2023-05-04,45740,19
2023-05-04,45750,25
2023-05-04,45770,25
2023-05-04,45790,33
2023-05-04,45800,39
2023-05-04,46110,132
2023-05-04,46130,154
2023-05-04,46150,338
2023-05-04,46170,77
2023-05-04,46230,51
2023-05-04,46710,39
2023-05-04,46720,17
2023-05-04,46730,13
2023-05-04,46770,69
2023-05-04,46780,32
2023-05-04,46790,38
2023-05-04,46800,52
2023-05-04,46810,30
2023-05-04,46820,63
2023-05-04,46830,61
2023-05-04,46840,75
2023-05-04,46860,12
2023-05-04,46870,44
2023-05-04,46880,25
2023-05-04,46890,32
2023-05-04,46900,26
2023-05-04,46910,25
2023-05-04,47111,172
2023-05-04,47113,142
2023-05-04,47130,142
2023-05-04,47150,71
2023-05-04,47170,118
2023-05-04,47190,162
2023-05-04,47210,54
2023-05-04,47230,45
2023-05-04,47250,118
2023-05-04,47280,43
2023-05-04,47290,226
2023-05-04,47720,18
2023-05-04,47730,32
2023-05-04,47750,30
2023-05-04,47760,9
2023-05-04,47770,31
2023-05-04,47820,40
2023-05-04,47830,12
2023-05-04,47840,21
2023-05-04,47850,51
2023-05-04,47900,22
2023-05-04,47920,20
2023-05-04,47930,16
2023-05-04,47940,4
2023-05-04,48121,153
2023-05-04,48123,156
2023-05-04,48125,65
2023-05-04,48127,62
2023-05-04,48129,133
2023-05-04,48170,184
2023-05-04,48220,100
2023-05-04,48240,64
2023-05-04,48250,321
2023-05-04,48270,52
2023-05-04,48310,99
2023-05-04,48330,135
2023-05-04,48720,20
2023-05-04,48730,29
2023-05-04,48740,30
2023-05-04,48820,48
2023-05-04,48840,16
2023-05-04,48850,32
2023-05-04,48860,24
2023-05-04,48870,30
2023-05-04,48880,44
2023-05-04,48890,33
2023-05-04,49110,330
2023-05-04,49130,86
2023-05-05,11110,4
2023-05-05,11140,1
2023-05-05,11170,7
2023-05-05,11200,10
2023-05-05,11215,5
2023-05-05,11230,8
2023-05-05,11260,9
2023-05-05,11290,16
2023-05-05,11305,13
2023-05-05,11320,14
2023-05-05,11350,32
2023-05-05,11380,29
2023-05-05,11410,5
2023-05-05,11440,11
2023-05-05,11470,23
2023-05-05,11500,25
2023-05-05,11530,11
2023-05-05,11545,5
2023-05-05,11560,4
2023-05-05,11590,23
2023-05-05,11620,14
2023-05-05,11650,14
2023-05-05,11680,15
2023-05-05,11710,15
2023-05-05,11740,39
2023-05-05,26110,1
2023-05-05,26140,4
2023-05-05,26170,1
2023-05-05,26200,5
2023-05-05,26230,13
2023-05-05,26260,15
2023-05-05,26290,5
2023-05-05,26320,7
2023-05-05,26350,12
2023-05-05,26380,17
2023-05-05,26410,19
2023-05-05,26440,8
2023-05-05,26470,8
2023-05-05,26500,4
2023-05-05,26530,4
2023-05-05,26710,8
2023-05-05,27110,10
2023-05-05,27140,53
2023-05-05,27170,6
2023-05-05,27200,15
2023-05-05,27230,30
2023-05-05,27260,49
2023-05-05,27290,45
2023-05-05,27710,45
2023-05-05,28110,15
2023-05-05,28140,6
2023-05-05,28185,64
2023-05-05,28200,54
2023-05-05,28237,38
2023-05-05,28245,35
2023-05-05,28260,76
2023-05-05,28710,10
2023-05-05,28720,0
2023-05-05,29110,16
2023-05-05,29140,16
2023-05-05,29155,34
2023-05-05,29170,46
2023-05-05,29200,25
2023-05-05,30110,8
2023-05-05,30140,15
2023-05-05,30170,61
2023-05-05,30200,64
2023-05-05,30230,11
2023-05-05,31110,32
2023-05-05,31140,18
2023-05-05,31170,12
2023-05-05,31200,55
2023-05-05,31710,15
2023-05-05,36110,132
2023-05-05,41111,10
2023-05-05,41113,56
2023-05-05,41115,8
2023-05-05,41117,29
2023-05-05,41131,8
2023-05-05,41133,13
2023-05-05,41135,33
2023-05-05,41150,40
2023-05-05,41171,9
2023-05-05,41173,42
2023-05-05,41190,42
2023-05-05,41210,18
2023-05-05,41220,112
2023-05-05,41250,7
2023-05-05,41271,48
2023-05-05,41273,42
2023-05-05,41281,28
2023-05-05,41285,13
2023-05-05,41287,34
2023-05-05,41290,8
2023-05-05,41310,30
2023-05-05,41360,48
2023-05-05,41370,17
2023-05-05,41390,42
2023-05-05,41410,42
2023-05-05,41430,16
2023-05-05,41450,30
2023-05-05,41461,14
2023-05-05,41463,20
2023-05-05,41465,23
2023-05-05,41480,49
2023-05-05,41500,6
2023-05-05,41550,14
2023-05-05,41570,130
2023-05-05,41590,136
2023-05-05,41610,29
2023-05-05,41630,26
2023-05-05,41650,6
2023-05-05,41670,2
2023-05-05,41800,4
2023-05-05,41820,2
2023-05-05,41830,0
2023-05-05,42110,23
2023-05-05,42130,12
2023-05-05,42150,2
2023-05-05,42170,3
2023-05-05,42190,0
2023-05-05,42210,2
2023-05-05,42230,1
2023-05-05,42720,0
2023-05-05,42730,6
2023-05-05,42750,0
2023-05-05,42760,1
2023-05-05,42770,0
2023-05-05,42780,14
2023-05-05,42790,0
2023-05-05,42800,0
2023-05-05,42810,4
2023-05-05,42820,2
2023-05-05,42830,1
2023-05-05,43111,15
2023-05-05,43112,22
2023-05-05,43113,25
2023-05-05,43114,16
2023-05-05,43130,30
2023-05-05,43150,5
2023-05-05,43720,1
2023-05-05,43730,2
2023-05-05,43740,6
2023-05-05,43745,0
2023-05-05,43750,3
2023-05-05,43760,4
2023-05-05,43770,3
2023-05-05,43800,0
2023-05-05,44131,17
2023-05-05,44133,36
2023-05-05,44150,14
2023-05-05,44180,43
2023-05-05,44200,46
2023-05-05,44210,3
2023-05-05,44230,2
2023-05-05,44250,8
2023-05-05,44270,44
2023-05-05,44710,5
2023-05-05,44760,3
